"id","nombre","descripcion","categoria","precio","imagen"
"1","Pizza Margherita","Pizza tradicional con tomate, mozzarella y albahaca.","Pizza","120","pizza.jpg"
"2","Tacos al Pastor","Tacos con carne de cerdo marinada y piña.","Tacos","90","tacos.jpg"
id,nombre,descripcion,categoria,precio,imagen
1,Pizza Margherita,Pizza tradicional con tomate, mozzarella y albahaca.,Pizza,120,pizza.jpg
2,Tacos al Pastor,Tacos con carne de cerdo marinada y piña.,Tacos,90,tacos.jpg
3,Ensalada César,Ensalada con lechuga, pollo y aderezo César.,Ensaladas,85,ensalada.jpg
4,Hamburguesa Clásica,Hamburguesa con carne de res, lechuga y tomate.,Hamburguesas,110,hamburguesa.jpg
5,Sushi Roll California,Rollo de sushi con cangrejo, aguacate y pepino.,Sushi,150,sushi.jpg
6,Spaghetti Bolognesa,Pasta con salsa de carne y tomate.,Pasta,130,spaghetti.jpg
7,Pollo a la Parrilla,Pollo marinado y asado a la parrilla.,Carnes,140,pollo.jpg
8,Lasagna de Carne,Lasagna con carne molida y queso.,Pasta,135,lasagna.jpg
9,Chiles en Nogada,Chiles rellenos con salsa de nuez.,Mexicana,160,chiles.jpg
10,Panqueques con Miel,Panqueques esponjosos con miel de maple.,Desayunos,70,panqueques.jpg
11,Enchiladas Verdes,Tortillas rellenas bañadas en salsa verde.,Mexicana,95,enchiladas.jpg
12,Filete de Salmón,Filete de salmón a la plancha con verduras.,Pescados,180,salmon.jpg
13,Tarta de Queso,Postre cremoso de queso con base de galleta.,Postres,60,cheesecake.jpg
14,Paella Valenciana,Arroz con mariscos, pollo y verduras.,Arroces,175,paella.jpg
15,Crepas de Nutella,Crepas dulces rellenas de Nutella y plátano.,Postres,65,crepas.jpg
16,Hot Dog Americano,Salchicha con pan, mostaza y cátsup.,Comida rápida,60,hotdog.jpg
17,Fajitas de Pollo,Tiras de pollo salteadas con pimientos y cebolla.,Mexicana,120,fajitas.jpg
18,Empanadas de Queso,Empanadas horneadas rellenas de queso.,Botanas,55,empanadas.jpg
19,Sopa de Tortilla,Sopa mexicana con tiras de tortilla frita.,Sopas,75,sopatortilla.jpg
20,Burrito de Res,Burrito relleno de carne de res y frijoles.,Mexicana,100,burrito.jpg
21,Alitas BBQ,Alitas de pollo bañadas en salsa BBQ.,Botanas,95,alitas.jpg
22,Nachos con Queso,Totopos cubiertos con queso fundido.,Botanas,80,nachos.jpg
23,Helado de Vainilla,Helado cremoso de vainilla.,Postres,45,helado.jpg
24,Pollo Teriyaki,Pollo salteado en salsa teriyaki.,Oriental,125,teriyaki.jpg
25,Macarrones con Queso,Pasta corta con salsa cremosa de queso.,Pasta,90,macarrones.jpg
26,Ceviche de Camarón,Mariscos marinados en jugo de limón.,Pescados,130,ceviche.jpg
27,Arepas Rellenas,Arepas de maíz rellenas de queso y jamón.,Latinoamericana,85,arepas.jpg
28,Ensalada Griega,Ensalada con tomate, pepino, queso feta y aceitunas.,Ensaladas,90,griega.jpg
29,Caldo Tlalpeño,Caldo de pollo con garbanzos y chipotle.,Sopas,80,tlalpeno.jpg
30,Costillas a la BBQ,Costillas de cerdo bañadas en salsa BBQ.,Carnes,170,costillas.jpg
